category,subcategory,name,price,colour1,colour2,photo
women,T-shirts,T-shirt boutonné à manches courtes et imprimé floral,23.99,White,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg
women,Pantalons & Shorts,Pantalon décontracté à taille élastique de couleur unie,25.99,Khaki,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/A9/f908379b-4128-4270-8933-e724653b2a28.jpg
women,Robes imprimées,Robe midi décontractée à imprimé floral,23.99,Khaki,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg
women,T-shirts,T-shirt brodé de fleurs,15.99,Green,Sky Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg
women,Robes imprimées,Robe longue à imprimé floral vintage,33.99,Red,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,32.99,Red,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,29.99,Black,Apricot,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg
women,Pantalons & Shorts,Pantalon décontracté à fleurs,21.99,Blue,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg
women,T-shirts,T-shirt simple à fleurs,19.42,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/AA/e09c4602-1d28-47ad-a429-73cadef2e1a8.jpg
women,Robes imprimées,Robe longue à patchwork imprimé,28.99,vert,Jaune,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0F/5E/e1ef7c6b-9231-4e15-8a38-6f6d7fe83be8.jpg
women,Pantalons & Shorts,Sarouel croisé décontracté,16.99,Black,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/3A/0e435d9a-fd6a-4ddf-a140-30c14e47eb45.jpg
women,T-shirts,T-shirt imprimé poisson,17.99,Green,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/11/EE/77350a61-52b8-4c8b-b59f-872a7b2d79fb.jpg
women,Blouses & Chemises,Chemisier ample de couleur unie,31.99,White,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7F/C8/61115a11-fd55-4a9d-9937-e6625eb09969.jpg
