category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
men,Shirts,Chemises à manches courtes à rayures,17.99,35.98,USD,50,275,false,,,"ID,MY,PH,SG,TH,VN",Black strip,Rayure bleue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/5E/BD/25215f7f-7d46-4be6-a895-04bbe4e23394.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5E/BD/25215f7f-7d46-4be6-a895-04bbe4e23394.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/1A/B9/a3cf3082-931e-41c4-8fee-8ea0815c5b08.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1A/B9/a3cf3082-931e-41c4-8fee-8ea0815c5b08.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1A/B9/a3cf3082-931e-41c4-8fee-8ea0815c5b08.jpg,https://fr.newchic.com/shirts-12209/p-1696680.html,1696680,SKUF37566
men,Henley Shirts,Chemise Henley en lin respirant pour homme,16.98,39.99,USD,58,3686,false,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/DC/96cf14d7-0cab-4c2c-86ff-19850b8ed213.jpg,https://fr.newchic.com/henley-shirts-12211/p-1676437.html,1676437,SKUE55668
men,Pyjama,Pyjama confortable en coton et lin,31.35,45.26,USD,31,140,false,,,"ID,MY,PH,SG,TH,VN",Grey,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/28/AB/085b12e4-43c3-46f9-b3ec-100acacb56de.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/28/AB/085b12e4-43c3-46f9-b3ec-100acacb56de.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/DE/B2/f48684e2-845c-4102-87d1-60cdeb6c5daa.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DE/B2/f48684e2-845c-4102-87d1-60cdeb6c5daa.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DE/B2/f48684e2-845c-4102-87d1-60cdeb6c5daa.jpg,https://fr.newchic.com/pajamas-sets-6150/p-1658681.html,1658681,SKUE87235
men,T-Shirts,T-shirt décontracté en coton uni avec poche poitrine,9.99,25.99,USD,62,2627,false,,,"ID,MY,PH,SG,TH,VN",Navy,Wine Red,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C1/BA/93d5c0e2-ce44-4852-9a8a-02ce532e9d38.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/BA/93d5c0e2-ce44-4852-9a8a-02ce532e9d38.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A1/7D/abba773c-0c24-48c6-83cd-8caacc2eff2f.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A1/7D/abba773c-0c24-48c6-83cd-8caacc2eff2f.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/BA/93d5c0e2-ce44-4852-9a8a-02ce532e9d38.jpeg,https://fr.newchic.com/t-shirts-12208/p-1650894.html,1650894,SKUE67015
men,Shirts,Chemises à poches multicolores,16.99,33.94,USD,50,6570,false,ChArmkpR,https://fr.newchic.com/charmkpr-brand-39.html,"ID,MY,PH,SG,TH,VN",Blue,Yellow,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/18/2E/fc4df957-5347-47a8-a918-2b70fe9d2e6a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/18/2E/fc4df957-5347-47a8-a918-2b70fe9d2e6a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D2/43/ee83e3eb-b3c5-4f40-a77c-6e8300925fa6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D2/43/ee83e3eb-b3c5-4f40-a77c-6e8300925fa6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/ED/D5/8f68f3bb-f170-4b7e-966b-3ab681ce8277.jpg,https://fr.newchic.com/charmkpr-shirts-12209/p-1644753.html,1644753,SKUE56372
men,Pyjama,Plus Pyjama design patchwork taille,23.99,0,USD,0,101,false,INCERUN,https://fr.newchic.com/incerun-brand-212.html,"ID,MY,PH,SG,TH,VN",Rose,Vin rouge,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/0D/DF/2ab83ec4-4e93-402a-8776-3d23b225822d.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0D/DF/2ab83ec4-4e93-402a-8776-3d23b225822d.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D8/5F/19f3e6b2-6dcd-4f7d-ba07-6882871b9e36.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D8/5F/19f3e6b2-6dcd-4f7d-ba07-6882871b9e36.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D8/5F/19f3e6b2-6dcd-4f7d-ba07-6882871b9e36.jpeg,https://fr.newchic.com/incerun-pajamas-sets-6150/p-1679383.html,1679383,SKUE16676
men,Shirts,Chemises Imprimées Branches Vintage,23.09,33.94,USD,32,3474,false,ChArmkpR,https://fr.newchic.com/charmkpr-brand-39.html,"ID,MY,PH,SG,TH,VN",Khaki,Coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6A/50/95caa407-bcff-420f-9a4a-bf3aa6a72615.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6A/50/95caa407-bcff-420f-9a4a-bf3aa6a72615.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/FA/3A/2704bafd-afdd-45b9-8479-dc72c05a7b20.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FA/3A/2704bafd-afdd-45b9-8479-dc72c05a7b20.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6A/50/95caa407-bcff-420f-9a4a-bf3aa6a72615.jpg,https://fr.newchic.com/charmkpr-shirts-12209/p-1649599.html,1649599,SKUE54146
men,T-Shirts,T-shirts graphiques Astronaute et Terre,9.99,29.99,USD,67,1447,false,,,"ID,MY,PH,SG,TH,VN",Black,Grey,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/06/88/0fc06d4d-95bf-4f21-9e4f-3d6b803e49fb.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/06/88/0fc06d4d-95bf-4f21-9e4f-3d6b803e49fb.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/33/B3/8126309d-effc-45ea-a0b7-f12adaf69a14.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/33/B3/8126309d-effc-45ea-a0b7-f12adaf69a14.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/06/88/0fc06d4d-95bf-4f21-9e4f-3d6b803e49fb.jpg,https://fr.newchic.com/t-shirts-12208/p-1685394.html,1685394,SKUF32558
men,Shirts,Chemises 100% coton imprimées pour hommes,20.99,37.71,USD,44,9211,false,,,"ID,MY,PH,SG,TH,VN",vert,Bleu,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/71/11/3bd1c863-3ba9-4cde-ae3d-fcbc6b0a0e54.JPG,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/71/11/3bd1c863-3ba9-4cde-ae3d-fcbc6b0a0e54.JPG,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/35/95/023a0648-3b53-495b-8643-4856fd69aebb.JPG,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/35/95/023a0648-3b53-495b-8643-4856fd69aebb.JPG,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/97/8F/2d9d8806-d805-4cd9-9972-ecb4997a7ad9.JPG,https://fr.newchic.com/shirts-12209/p-1527110.html,1527110,SKUC66899
men,Shirts,Chemises unie Striola Chest Pocket,16.49,28.28,USD,42,5267,false,,,"ID,MY,PH,SG,TH,VN",Blue,Black,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/E2/6B/c3b5dc3b-5d9f-4e2f-8d36-d2cecb4c3acf.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E2/6B/c3b5dc3b-5d9f-4e2f-8d36-d2cecb4c3acf.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F4/B9/2abe8fb7-84c4-457f-b44b-e1ebc4232906.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/B9/2abe8fb7-84c4-457f-b44b-e1ebc4232906.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E2/6B/c3b5dc3b-5d9f-4e2f-8d36-d2cecb4c3acf.jpeg,https://fr.newchic.com/shirts-12209/p-1646547.html,1646547,SKUE37685
men,T-Shirts,T-shirt 100% coton à col en V de couleur unie,9.99,28.28,USD,65,788,false,ChArmkpR,https://fr.newchic.com/charmkpr-brand-39.html,"ID,MY,PH,SG,TH,VN",Sky Blue,White,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/51/E1/c4c0ec98-0b8e-4338-a0b9-d70e4b2fceb5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/51/E1/c4c0ec98-0b8e-4338-a0b9-d70e4b2fceb5.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/38/CE/266c4322-47eb-428f-a072-db8208703c3e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/38/CE/266c4322-47eb-428f-a072-db8208703c3e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0E/1B/dcc314f9-7455-48cc-ae97-76ce052ecb3d.jpg,https://fr.newchic.com/charmkpr-t-shirts-12208/p-1689337.html,1689337,SKUF22170
men,Shirts,Chemise à col montant en lin respirant,16.99,33.99,USD,50,1040,false,,,"ID,MY,PH,SG,TH,VN",blanc,gris,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C3/E9/7c9dc43d-a0fd-4935-9b71-33e8c294a80b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C3/E9/7c9dc43d-a0fd-4935-9b71-33e8c294a80b.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BE/31/bb24c4ec-0793-43f0-b0d5-2c033c0da21f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BE/31/bb24c4ec-0793-43f0-b0d5-2c033c0da21f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C3/E9/7c9dc43d-a0fd-4935-9b71-33e8c294a80b.jpg,https://fr.newchic.com/shirts-12209/p-1687607.html,1687607,SKUF04403
men,Pyjama,Ensembles de chemises en coton et lin,31.99,60.35,USD,47,15,true,ChArmkpR,https://fr.newchic.com/charmkpr-brand-39.html,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/37/07/8d7652a6-3603-4502-86f5-49965a6bd014.jpg,https://fr.newchic.com/charmkpr-pajamas-sets-6150/p-1715461.html,1715461,SKUF80490
