category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
women,T-shirts,T-shirt boutonné à manches courtes et imprimé floral,23.99,46.99,USD,49,313,false,,,"ID,MY,PH,SG,TH,VN",White,Navy,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BE/47/78463cb2-6cbc-4a36-ae84-0d30dd50cac7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BE/47/78463cb2-6cbc-4a36-ae84-0d30dd50cac7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,https://fr.newchic.com/t-shirts-3666/p-1690810.html,1690810,SKUF40137
women,Pantalons & Shorts,Pantalon décontracté à taille élastique de couleur unie,25.99,50.99,USD,49,5564,false,,,"ID,MY,PH,SG,TH,VN",Khaki,Black,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/AB/a51a8a09-8e7b-4d33-b233-38e1baeabce7.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/AB/a51a8a09-8e7b-4d33-b233-38e1baeabce7.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F5/3D/33a2a686-6d8f-4803-818d-91288a125f69.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F5/3D/33a2a686-6d8f-4803-818d-91288a125f69.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/A9/f908379b-4128-4270-8933-e724653b2a28.jpg,https://fr.newchic.com/pants-and-capris-3674/p-1661710.html,1661710,SKUE94621
women,Robes imprimées,Robe midi décontractée à imprimé floral,23.99,46.99,USD,49,1262,false,,,"ID,MY,PH,SG,TH,VN",Khaki,White,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F0/F6/e8349f09-80eb-4a64-b300-b3fdc46192c2.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F0/F6/e8349f09-80eb-4a64-b300-b3fdc46192c2.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,https://fr.newchic.com/print-dresses-3677/p-1691484.html,1691484,SKUF41372
women,T-shirts,T-shirt brodé de fleurs,15.99,38.88,USD,59,4485,false,,,"ID,MY,PH,SG,TH,VN",Green,Sky Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2D/EA/642b831d-c76d-4339-a0fc-7b3f32eed953.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2D/EA/642b831d-c76d-4339-a0fc-7b3f32eed953.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,https://fr.newchic.com/t-shirts-3666/p-1655044.html,1655044,SKUE83526
women,Robes imprimées,Robe longue à imprimé floral vintage,33.99,70.99,USD,52,2419,false,,,"ID,MY,PH,SG,TH,VN",Red,Yellow,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/45/EA/44f4279f-d777-4da1-903e-6820ea03b219.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/45/EA/44f4279f-d777-4da1-903e-6820ea03b219.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,https://fr.newchic.com/print-dresses-3677/p-1527134.html,1527134,SKUC88481
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,32.99,64.98,USD,49,33,true,,,"ID,MY,PH,SG,TH,VN",Red,Navy,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A6/50/bf193e3e-d976-403b-9870-19cbb4634b12.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A6/50/bf193e3e-d976-403b-9870-19cbb4634b12.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,https://fr.newchic.com/jumpsuits-and-rompers-3702/p-1715194.html,1715194,SKUF79731
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,29.99,63.98,USD,53,4132,false,,,"ID,MY,PH,SG,TH,VN",Black,Apricot,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C2/3C/9b01d967-a68b-4fbb-9978-ef995e171e61.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C2/3C/9b01d967-a68b-4fbb-9978-ef995e171e61.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,https://fr.newchic.com/jumpsuits-and-rompers-3702/p-1660117.html,1660117,SKUE91643
women,Pantalons & Shorts,Pantalon décontracté à fleurs,21.99,47.99,USD,54,3095,false,Gracila,https://fr.newchic.com/gracila-brand-247.html,"ID,MY,PH,SG,TH,VN",Blue,Yellow,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/73/6F/1f7e62ca-4fec-4b74-bd0a-654da998a4f8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/73/6F/1f7e62ca-4fec-4b74-bd0a-654da998a4f8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,https://fr.newchic.com/gracila-pants-and-capris-3674/p-1663956.html,1663956,SKUE99093
women,T-shirts,T-shirt simple à fleurs,19.42,39.99,USD,51,3240,false,,,"ID,MY,PH,SG,TH,VN",Black,Grey,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/CF/AA/e09c4602-1d28-47ad-a429-73cadef2e1a8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/AA/e09c4602-1d28-47ad-a429-73cadef2e1a8.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/99/A1/608c337d-e3ad-40d3-a788-ffb8bffede31.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/99/A1/608c337d-e3ad-40d3-a788-ffb8bffede31.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/AA/e09c4602-1d28-47ad-a429-73cadef2e1a8.jpg,https://fr.newchic.com/t-shirts-3666/p-1654724.html,1654724,SKUE82280
women,Robes imprimées,Robe longue à patchwork imprimé,28.99,73.31,USD,61,5822,false,,,"ID,MY,PH,SG,TH,VN",vert,Jaune,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/53/74/1bf4051d-c430-405b-b5e8-de1c0cafd61c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/53/74/1bf4051d-c430-405b-b5e8-de1c0cafd61c.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/FF/A7/a8b042ff-2710-4078-85d3-15708f107748.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FF/A7/a8b042ff-2710-4078-85d3-15708f107748.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0F/5E/e1ef7c6b-9231-4e15-8a38-6f6d7fe83be8.jpg,https://fr.newchic.com/plus-size-print-dresses-5159/p-1509346.html,1509346,SKUB84919
